Region,Mean Energy [keV],Percentage Error,Percentage of Total,Level1,Level2,Level3
PBCS,0.36074606518769237,0.004741840924705025,0.19928427463396978,Scanner,SPECT,
ALCS,0.26598531525692315,0.0034084756487850138,0.14693629599725472,Scanner,SPECT,
XRT,0.15772540881076919,0.006715758774346393,0.08713107839401282,Scanner,CT,
HEX,0.03713695189199999,0.012533496205905473,0.02051529104292042,Scanner,CT,
EBD,0.029680154819846163,0.0146257441752304,0.01639598791249341,Scanner,CT,
HVG,0.10748506511076927,0.006994686602566556,0.059377177748120485,Scanner,CT,
DTS,0.1722922851876923,0.006486141945866389,0.09517814992879854,Scanner,CT,
SUPPORTS,3.3513398477692324,0.0016673553019530849,1.8513558291124392,Scanner,Extra,
COVER,0.23979834000923067,0.003766252200399198,0.13247001938137837,Scanner,Extra,
COVERG,0.010941916104153845,0.01734358953706955,0.006044561602598585,Scanner,Extra,
